epoch,sigma,a1,decay_ratio,snr_input,snr_output,snr_gain
,20,50,0.0,5.044148771481066,11.013353834902597,5.969205063421531
,20,40,0.2,4.140415132232828,10.550138226119916,6.409723093887088
,20,20,0.6,2.113001759143404,4.5376081125051435,2.4246063533617397
,20,1,0.98,-0.023838697957366012,0.8096197590007058,0.8334584569580719
,10,50,0.0,11.06474868476069,24.912935519426938,13.848186834666247
,10,40,0.2,10.161015045512451,23.97339742274727,13.812382377234817
,10,20,0.6,8.133601672423028,21.620963164686657,13.487361492263629
,10,1,0.98,5.996761215322258,10.252521951446488,4.25576073612423
,5,50,0.0,17.085348598040312,30.81395732961329,13.72860873157298
,5,40,0.2,16.181614958792075,29.91231444640207,13.730699487609996
,5,20,0.6,14.154201585702651,27.74978688617367,13.595585300471019
,5,1,0.98,12.017361128601882,17.949557277708283,5.932196149106401
,2,50,0.0,25.04414877148107,38.41249824715809,13.368349475677022
,2,40,0.2,24.140415132232825,37.53445071495393,13.394035582721102
,2,20,0.6,22.113001759143405,35.431380553338556,13.318378794195151
,2,1,0.98,19.976161302042634,26.735972299306656,6.759810997264022
,1,50,0.0,31.064748684760687,43.328906597580826,12.264157912820139
,1,40,0.2,30.16101504551245,42.51827109763103,12.35725605211858
,1,20,0.6,28.13360167242303,40.516942088211295,12.383340415788265
,1,1,0.98,25.99676121532226,25.232301759301315,-0.7644594560209441
,0.5,50,0.0,37.08534859804032,46.71938489032637,9.634036292286048
,0.5,40,0.2,36.181614958792075,45.86763112429437,9.686016165502295
,0.5,20,0.6,34.15420158570265,43.9782823091145,9.824080723411846
,0.5,1,0.98,32.017361128601884,25.610159535004236,-6.407201593597648
